. . 导出了 "ZYHBCS"."AE_OLAP_LVL"                      13.16 KB       7 行
. . 导出了 "ZYHBCS"."AE_OLAP_LVLP"                     9.406 KB       2 行
. . 导出了 "ZYHBCS"."AE_OLAP_MEA"                      13.79 KB       6 行
. . 导出了 "ZYHBCS"."AE_OLAP_RLN"                      15.21 KB      37 行
. . 导出了 "ZYHBCS"."AE_RELATION"                      39.36 KB     198 行
. . 导出了 "ZYHBCS"."AE_RELATION_DIM"                  15.79 KB      39 行
. . 导出了 "ZYHBCS"."AM_MESSAGENOTE"                   11.42 KB       3 行
. . 导出了 "ZYHBCS"."AM_PLUGINS"                       18.40 KB      44 行
. . 导出了 "ZYHBCS"."ANTE_SS_LEXICON"                  14.65 KB     178 行
. . 导出了 "ZYHBCS"."ARAP_BILLCONFER"                  14.96 KB       5 行
. . 导出了 "ZYHBCS"."ARAP_BILLMAP"                     172.7 KB     670 行
. . 导出了 "ZYHBCS"."ARAP_BILLTYPE"                    15.44 KB      12 行
. . 导出了 "ZYHBCS"."ARAP_DSTLFACTOR"                  12.96 KB      12 行
. . 导出了 "ZYHBCS"."ARAP_VERIFY"                      49.85 KB     153 行
. . 导出了 "ZYHBCS"."ARAP_VERIFY_FA"                   11.04 KB       1 行
. . 导出了 "ZYHBCS"."BAP_FS_HEADER"                    17.41 KB      29 行
. . 导出了 "ZYHBCS"."BAP_FS_MODULE"                    9.789 KB       1 行
. . 导出了 "ZYHBCS"."BCBD_ATTRCLASS"                   13.89 KB      22 行
. . 导出了 "ZYHBCS"."BCBD_ATTRMAP"                     15.60 KB      48 行
. . 导出了 "ZYHBCS"."BCBD_BARAPPOBJECT"                12.94 KB       2 行
. . 导出了 "ZYHBCS"."BCBD_BARAPPOBJECT_ITEM"           28.43 KB      79 行
. . 导出了 "ZYHBCS"."BCBD_BARTYPE"                     14.00 KB       5 行
. . 导出了 "ZYHBCS"."BCBD_BTCHECKRULE"                 9.617 KB       1 行
. . 导出了 "ZYHBCS"."BCBD_REFEROBJ"                    14.78 KB      16 行
. . 导出了 "ZYHBCS"."BCBD_STRATEGYREG"                 7.617 KB       1 行
. . 导出了 "ZYHBCS"."BD_ACCASSITEM"                    20.82 KB      45 行
. . 导出了 "ZYHBCS"."BD_ACCCHART"                      23.67 KB      20 行
. . 导出了 "ZYHBCS"."BD_ACCCTRLORG"                    9.375 KB      17 行
. . 导出了 "ZYHBCS"."BD_ACCCTRLRULE"                   19.02 KB      20 行
. . 导出了 "ZYHBCS"."BD_ACCESSORFACREG"                15.29 KB      48 行
. . 导出了 "ZYHBCS"."BD_ACCESSORFACREG_0528"           7.625 KB       1 行
. . 导出了 "ZYHBCS"."BD_ACCFIELDCTRL"                  20.71 KB     102 行
. . 导出了 "ZYHBCS"."BD_ACCFIELDCTTEMP"                14.52 KB      34 行
. . 导出了 "ZYHBCS"."BD_ACCHALFYEAR"                   11.35 KB      22 行
. . 导出了 "ZYHBCS"."BD_ACCPERIOD"                     14.60 KB      11 行
. . 导出了 "ZYHBCS"."BD_ACCPERIODMONTH"                32.67 KB     137 行
. . 导出了 "ZYHBCS"."BD_ACCPERIODQUART"                14.68 KB      44 行
. . 导出了 "ZYHBCS"."BD_ACCPERIODSCHEME"               12.12 KB       1 行
. . 导出了 "ZYHBCS"."BD_ACCPLYCHART"                   7.210 KB       1 行
. . 导出了 "ZYHBCS"."BD_ACCSYSTEM"                     12.82 KB       3 行
. . 导出了 "ZYHBCS"."BD_ACCTYPE"                       12.82 KB      16 行
. . 导出了 "ZYHBCS"."BD_ADDRESS"                       179.6 KB    2031 行
. . 导出了 "ZYHBCS"."BD_ANSYLOG"                       9.007 KB       3 行
. . 导出了 "ZYHBCS"."BD_AREACL"                        25.38 KB      48 行
. . 导出了 "ZYHBCS"."BD_ASSIGN_TAB"                    16.33 KB      18 行
. . 导出了 "ZYHBCS"."BD_AUDITMODULE"                   10.50 KB       7 行
. . 导出了 "ZYHBCS"."BD_AUDITTABLE"                    13.82 KB      40 行
. . 导出了 "ZYHBCS"."BD_AUDITTABLEDETAIL"              40.49 KB     370 行
. . 导出了 "ZYHBCS"."BD_BALATYPE"                      17.95 KB      14 行
. . 导出了 "ZYHBCS"."BD_BANKACCBAS"                    76.03 KB      83 行
. . 导出了 "ZYHBCS"."BD_BANKACCSUB"                    45.17 KB      83 行
. . 导出了 "ZYHBCS"."BD_BANKACCUSE"                    24.28 KB     152 行
. . 导出了 "ZYHBCS"."BD_BANKDOC"                       39.30 KB      43 行
. . 导出了 "ZYHBCS"."BD_BANKTYPE"                      21.17 KB      38 行
. . 导出了 "ZYHBCS"."BD_BATCHUPDATEATTR"               56.68 KB     265 行
. . 导出了 "ZYHBCS"."BD_BATCHUPDATETAB"                14.75 KB      16 行
. . 导出了 "ZYHBCS"."BD_BILLTYPE"                      170.9 KB     679 行
. . 导出了 "ZYHBCS"."BD_BILLTYPE2"                     28.32 KB     233 行
. . 导出了 "ZYHBCS"."BD_BRANDDOC"                      65.18 KB     296 行
. . 导出了 "ZYHBCS"."BD_BUSITYPE"                      36.92 KB     117 行
. . 导出了 "ZYHBCS"."BD_BUSITYPECLASS"                 8.367 KB      14 行
. . 导出了 "ZYHBCS"."BD_CAPRT"                         14.94 KB      36 行
. . 导出了 "ZYHBCS"."BD_CAPWT"                         19.18 KB      72 行
. . 导出了 "ZYHBCS"."BD_CASHACCOUNT"                   17.34 KB      18 行
. . 导出了 "ZYHBCS"."BD_CASHFLOW"                      27.09 KB      57 行
